director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mehdi Idir Grand Corps Malade,Pablo Pauly,Soufiane Guerrab,Moussa Mansaly,Drama Comedy,patients,Pablo PaulySoufiane GuerrabMoussa MansalyMehdi Idir Grand Corps MaladeDrama Comedy
Stuart Hazeldine,Sam Worthington,Octavia Spencer,Tim McGraw,Drama Fantasy,the shack,Sam WorthingtonOctavia SpencerTim McGrawStuart HazeldineDrama Fantasy
Svyatoslav Podgayevskiy,Victoria Agalakova,Vyacheslav Chepurchenko,Alexandra Rebenok,Mystery Horror Thriller,the bride,Victoria AgalakovaVyacheslav ChepurchenkoAlexandra RebenokSvyatoslav PodgayevskiyMystery Horror Thriller
Daniel Espinosa,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Horror Sci-Fi Thriller,life,Jake GyllenhaalRebecca FergusonRyan ReynoldsDaniel EspinosaHorror Sci-Fi Thriller
Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy,Action Crime Romance,kaabil,Hrithik RoshanYami GautamRonit RoySanjay GuptaAction Crime Romance
Bryan Brewer,Cree Kelly,Allie Rivera,Thatcher Robinson,Horror,the raking,Cree KellyAllie RiveraThatcher RobinsonBryan BrewerHorror
J.D. Dillard,Jacob Latimore,Seychelle Gabriel,Sasheer Zamata,Drama Thriller Action Sci-Fi,sleight,Jacob LatimoreSeychelle GabrielSasheer ZamataJ.D. DillardDrama Thriller Action Sci-Fi
Shannon Hartman,Kurt Braunohler,unknown,unknown,Comedy,kurt braunohler: trust me,Kurt BraunohlerunknownunknownShannon HartmanComedy
Sarah Adina Smith,Rami Malek,DJ Qualls,Kate Lyn Sheil,Mystery Drama,buster's mal heart,Rami MalekDJ QuallsKate Lyn SheilSarah Adina SmithMystery Drama
Han Jae-rim,Jo In-sung,Jung Woo-sung,Bae Seong-woo,Drama Crime,the king,Jo In-sungJung Woo-sungBae Seong-wooHan Jae-rimDrama Crime
David Ryan Keith,Michael Koltes,Paul Flannery,Lisa Livingstone,Horror,ghosts of darkness,Michael KoltesPaul FlanneryLisa LivingstoneDavid Ryan KeithHorror
Dean Israelite,Dacre Montgomery,Naomi Scott,RJ Cyler,Action Adventure Sci-Fi,power rangers,Dacre MontgomeryNaomi ScottRJ CylerDean IsraeliteAction Adventure Sci-Fi
Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Horror Sci-Fi Thriller,alien: covenant,Michael FassbenderKatherine WaterstonBilly CrudupRidley ScottHorror Sci-Fi Thriller
Massimiliano Bruno,Marco Giallini,Alessandro Gassman,Teresa Romagnoli,Comedy,beata ignoranza,Marco GialliniAlessandro GassmanTeresa RomagnoliMassimiliano BrunoComedy
Ben Wheatley,Sharlto Copley,Armie Hammer,Brie Larson,Action Comedy Crime Thriller,free fire,Sharlto CopleyArmie HammerBrie LarsonBen WheatleyAction Comedy Crime Thriller
Kitty Green,Hannah Cagwin,Aeona Cruz,Liv Bagley,Documentary,casting jonbenet,Hannah CagwinAeona CruzLiv BagleyKitty GreenDocumentary
Etienne Comar,Reda Kateb,Cécile de France,Àlex Brendemühl,Drama,django,Reda KatebCécile de FranceÀlex BrendemühlEtienne ComarDrama
Amy Schumer,Amy Schumer,unknown,unknown,Comedy,amy schumer: the leather special,Amy SchumerunknownunknownAmy SchumerComedy
Samuli Valkama,Noah Kin,Heikki Nousiainen,Mikko Nousiainen,Comedy Drama,unexpected journey,Noah KinHeikki NousiainenMikko NousiainenSamuli ValkamaComedy Drama
Oren Moverman,Richard Gere,Laura Linney,Steve Coogan,Drama Thriller,the dinner,Richard GereLaura LinneySteve CooganOren MovermanDrama Thriller
Josef Hader,Josef Hader,Georg Friedrich,Crina Semciuc,Comedy Crime Drama,wild mouse,Josef HaderGeorg FriedrichCrina SemciucJosef HaderComedy Crime Drama
Brian Vernick,Cheryl M. Bailey,Louis Ballezzi,Shawn Bittenbender,Crime Drama,the avenue,Cheryl M. BaileyLouis BallezziShawn BittenbenderBrian VernickCrime Drama
Steven C. Miller,Nicolas Cage,Christopher Rob Bowen,Adrian Grenier,Action Crime Thriller,arsenal,Nicolas CageChristopher Rob BowenAdrian GrenierSteven C. MillerAction Crime Thriller
Adolfo Martínez Pérez,Ariadna Gil,Roberto Álamo,Antonio Garrido,War,rescue under fire,Ariadna GilRoberto ÁlamoAntonio GarridoAdolfo Martínez PérezWar
Shannon Hartman,Jim Norton,unknown,unknown,Comedy,jim norton: mouthful of shame,Jim NortonunknownunknownShannon HartmanComedy
Vanessa Parise,Haley Pullos,Judd Nelson,Sasha Clements,Drama,from straight a's to xxx,Haley PullosJudd NelsonSasha ClementsVanessa PariseDrama
Fernando González Molina,Marta Etura ,Elvira Mínguez,Francesc Orella,Thriller,the invisible guardian,Marta Etura Elvira MínguezFrancesc OrellaFernando González MolinaThriller
Lu Chuan,John Krasinski,Zhou Xun,unknown,Documentary,born in china,John KrasinskiZhou XununknownLu ChuanDocumentary
Aaron Katz,Lola Kirke,Zoë Kravitz,John Cho,Thriller,gemini,Lola KirkeZoë KravitzJohn ChoAaron KatzThriller
David Paul Meyer,Trevor Noah,unknown,unknown,Comedy,trevor noah: afraid of the dark,Trevor NoahunknownunknownDavid Paul MeyerComedy
Fiona Gordon Dominique Abel,Fiona Gordon,Dominique Abel,Emmanuelle Riva,Comedy,lost in paris,Fiona GordonDominique AbelEmmanuelle RivaFiona Gordon Dominique AbelComedy
Stan Lathan,Dave Chappelle,unknown,unknown,Comedy,dave chappelle: the age of spin,Dave ChappelleunknownunknownStan LathanComedy
Francis Whately,Tony Visconti,Gail Ann Dorsey,Tony Basil,Music Documentary,david bowie: the last five years,Tony ViscontiGail Ann DorseyTony BasilFrancis WhatelyMusic Documentary
Amanda Kernell,Lene Cecilia Sparrok,Mia Sparrok,Maj-Doris Rimpi,Drama,sami blood,Lene Cecilia SparrokMia SparrokMaj-Doris RimpiAmanda KernellDrama
Andrew Getty,Fred Koehler,Sean Patrick Flanery,Brianna Brown,Horror,the evil within,Fred KoehlerSean Patrick FlaneryBrianna BrownAndrew GettyHorror
Mark Pellington,Shirley MacLaine,Amanda Seyfried,Anne Heche,Comedy Drama,the last word,Shirley MacLaineAmanda SeyfriedAnne HecheMark PellingtonComedy Drama
Dax Shepard,Michael Peña,Dax Shepard,Jessica McNamee,Action Comedy Crime,chips,Michael PeñaDax ShepardJessica McNameeDax ShepardAction Comedy Crime
Jeffrey Blitz,Anna Kendrick,Craig Robinson,June Squibb,Comedy Drama,table 19,Anna KendrickCraig RobinsonJune SquibbJeffrey BlitzComedy Drama
Zach Braff,Morgan Freeman,Michael Caine,Alan Arkin,Crime Comedy Drama,going in style,Morgan FreemanMichael CaineAlan ArkinZach BraffCrime Comedy Drama
Geoffrey Orthwein Andrew Sullivan,Maika Monroe,Matt O'Leary,Arnar Jónsson,Drama Sci-Fi Thriller,bokeh,Maika MonroeMatt O'LearyArnar JónssonGeoffrey Orthwein Andrew SullivanDrama Sci-Fi Thriller
Philippe Lacheau,Philippe Lacheau,Élodie Fontan,Julien Arruti,Comedy,alibi.com,Philippe LacheauÉlodie FontanJulien ArrutiPhilippe LacheauComedy
Stan Lathan,Dave Chappelle,unknown,unknown,Comedy,dave chappelle: deep in the heart of texas,Dave ChappelleunknownunknownStan LathanComedy
Gavin Wiesen,J.K. Simmons,Analeigh Tipton,Emile Hirsch,Comedy,all nighter,J.K. SimmonsAnaleigh TiptonEmile HirschGavin WiesenComedy
Nicolas Bedos,Nicolas Bedos,Doria Tillier,Denis Podalydès,Romance Drama Comedy,mr & mme adelman,Nicolas BedosDoria TillierDenis PodalydèsNicolas BedosRomance Drama Comedy
Sydney Freeland,Ashleigh Murray,Rachel Crow,Tim Blake Nelson,Drama Comedy Crime,deidra & laney rob a train,Ashleigh MurrayRachel CrowTim Blake NelsonSydney FreelandDrama Comedy Crime
Simon Amstell,Simon Amstell,Linda Bassett,Martin Freeman,Sci-Fi Comedy Documentary,carnage: swallowing the past,Simon AmstellLinda BassettMartin FreemanSimon AmstellSci-Fi Comedy Documentary
Tommy O'Haver,Melissa Leo,Josh Lucas,Michael Chernus,Crime Drama,the most hated woman in america,Melissa LeoJosh LucasMichael ChernusTommy O'HaverCrime Drama
George Mendeluk,Max Irons,Samantha Barks,Terence Stamp,War Drama History Romance,bitter harvest,Max IronsSamantha BarksTerence StampGeorge MendelukWar Drama History Romance
Johnny Martin,Nicolas Cage,Deborah Kara Unger,Anna Hutchison,Action Thriller,vengeance: a love story,Nicolas CageDeborah Kara UngerAnna HutchisonJohnny MartinAction Thriller
Álex de la Iglesia,Mario Casas,Blanca Suárez,Carmen Machi,Horror Thriller Comedy,the bar,Mario CasasBlanca SuárezCarmen MachiÁlex de la IglesiaHorror Thriller Comedy
Ned Crowley,Jim O'Heir,Andrew J. West,Josh McDermitt,Drama Comedy Crime Thriller,middle man,Jim O'HeirAndrew J. WestJosh McDermittNed CrowleyDrama Comedy Crime Thriller
Nathan Adloff,Tim Boardman,Missi Pyle,Stephen Root,Drama,miles,Tim BoardmanMissi PyleStephen RootNathan AdloffDrama
Kelly Asbury,Julia Roberts,Ariel Winter,Ellie Kemper,Adventure Animation Comedy Family,smurfs: the lost village,Julia RobertsAriel WinterEllie KemperKelly AsburyAdventure Animation Comedy Family
Charlie McDowell,Jason Segel,Rooney Mara,Robert Redford,Drama Romance Sci-Fi Thriller,the discovery,Jason SegelRooney MaraRobert RedfordCharlie McDowellDrama Romance Sci-Fi Thriller
Gurinder Chadha,Hugh Bonneville,Gillian Anderson,Michael Gambon,Drama History,viceroy's house,Hugh BonnevilleGillian AndersonMichael GambonGurinder ChadhaDrama History
Alec Su,Nick Wang,Zhang Lu-Yi,Ruby Lin,Mystery Thriller,the devotion of suspect x,Nick WangZhang Lu-YiRuby LinAlec SuMystery Thriller
Niki Caro,Jessica Chastain,Johan Heldenbergh,Daniel Brühl,Drama History,the zookeeper's wife,Jessica ChastainJohan HeldenberghDaniel BrühlNiki CaroDrama History
Miguel A. Ferrer,Amy Johnston,Cortney Palm,Rey Goyos,Drama Action,female fight club,Amy JohnstonCortney PalmRey GoyosMiguel A. FerrerDrama Action
Robert Legato,Eliza Dushku,Robert Patrick,Chace Crawford,Horror Mystery Thriller,eloise,Eliza DushkuRobert PatrickChace CrawfordRobert LegatoHorror Mystery Thriller
Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Drama,gifted,Chris EvansMckenna GraceLindsay DuncanMarc WebbDrama
Sam Liu,Stuart Allan,Jake T. Austin,Taissa Farmiga,Sci-Fi Animation Action,teen titans: the judas contract,Stuart AllanJake T. AustinTaissa FarmigaSam LiuSci-Fi Animation Action
Louis C.K.,Louis C.K.,unknown,unknown,Comedy,louis c.k. 2017,Louis C.K.unknownunknownLouis C.K.Comedy
Joaquín Gutiérrez Acha,Carlos De Hita,unknown,unknown,Documentary,cantábrico: los dominios del oso pardo,Carlos De HitaunknownunknownJoaquín Gutiérrez AchaDocumentary
Elliott Lester,Arnold Schwarzenegger,Scoot McNairy,Maggie Grace,Drama Thriller,aftermath,Arnold SchwarzeneggerScoot McNairyMaggie GraceElliott LesterDrama Thriller
Ole Bornedal,Nicolas Bro,Ulrich Thomsen,Mia Lyhne,Comedy Crime Drama,small town killers,Nicolas BroUlrich ThomsenMia LyhneOle BornedalComedy Crime Drama
Ricardo Herrera,Andy Goldenberg,Emily Roya O'Brien,Nick Armstrong,Comedy,the bigfoot project,Andy GoldenbergEmily Roya O'BrienNick ArmstrongRicardo HerreraComedy
Jon Gunn,Mike Vogel,Erika Christensen,Faye Dunaway,Drama,the case for christ,Mike VogelErika ChristensenFaye DunawayJon GunnDrama
Leif Tilden,Graham Rogers,Billy Crudup,Liana Liberato,Drama Romance,1 mile to you,Graham RogersBilly CrudupLiana LiberatoLeif TildenDrama Romance
Aaron Woodley,Jessica Biel,Hilary Swank,Susan Sarandon,Adventure Animation Comedy Family Sci-Fi,spark: a space tail,Jessica BielHilary SwankSusan SarandonAaron WoodleyAdventure Animation Comedy Family Sci-Fi
Stella Meghie,Amandla Stenberg,Nick Robinson,Anika Noni Rose,Drama Romance,"everything, everything",Amandla StenbergNick RobinsonAnika Noni RoseStella MeghieDrama Romance
David Bowers,Jason Ian Drucker,Owen Asztalos,Charlie Wright,Comedy Family,diary of a wimpy kid: the long haul,Jason Ian DruckerOwen AsztalosCharlie WrightDavid BowersComedy Family
Alain Gomis,Véro Tshanda Beya Mputu,Gaetan Claudia,Papi Mpaka,Drama,félicité,Véro Tshanda Beya MputuGaetan ClaudiaPapi MpakaAlain GomisDrama
Andrey Volgin,Agniya Ditkovskite,Denis Shvedov,Anvar Khalilulaev,Action Fantasy,dance to death,Agniya DitkovskiteDenis ShvedovAnvar KhalilulaevAndrey VolginAction Fantasy
Dmitriy Kiselev,Evgeny Mironov,Konstantin Khabenskiy,Vladimir Ilin,Adventure Drama History,the spacewalker,Evgeny MironovKonstantin KhabenskiyVladimir IlinDmitriy KiselevAdventure Drama History
Seth Gordon,Dwayne Johnson,Zac Efron,Alexandra Daddario,Action Comedy,baywatch,Dwayne JohnsonZac EfronAlexandra DaddarioSeth GordonAction Comedy
Denise Di Novi,Rosario Dawson,Katherine Heigl,Geoff Stults,Drama Thriller,unforgettable,Rosario DawsonKatherine HeiglGeoff StultsDenise Di NoviDrama Thriller
Jonathan Levine,Amy Schumer,Goldie Hawn,Tom Bateman,Action Comedy,snatched,Amy SchumerGoldie HawnTom BatemanJonathan LevineAction Comedy
Alex Kurtzman,Tom Cruise,Russell Crowe,Annabelle Wallis,Thriller Action Adventure,the mummy,Tom CruiseRussell CroweAnnabelle WallisAlex KurtzmanThriller Action Adventure
Alastair Orr,Sharni Vinson,Carlyn Burchell,Steve John Ward,Action Horror,from a house on willow street,Sharni VinsonCarlyn BurchellSteve John WardAlastair OrrAction Horror
F. Gary Gray,Vin Diesel,Jason Statham,Dwayne Johnson,Action Crime Thriller,the fate of the furious,Vin DieselJason StathamDwayne JohnsonF. Gary GrayAction Crime Thriller
Bryce Wagoner,Ginger Lynn Allen,Lisa Ann,Janine Lindemulder,Documentary,after porn ends 2,Ginger Lynn AllenLisa AnnJanine LindemulderBryce WagonerDocumentary
Gerard McMurray,Trevor Jackson,Alfre Woodard,Steve Harris,Drama,burning sands,Trevor JacksonAlfre WoodardSteve HarrisGerard McMurrayDrama
Ian Truitner,Sunny Mabrey,Lance Broadway,T.J. Hoban,Sci-Fi,teleios,Sunny MabreyLance BroadwayT.J. HobanIan TruitnerSci-Fi
Steven Brill,Adam Sandler,Kevin James,Terry Crews,Comedy,sandy wexler,Adam SandlerKevin JamesTerry CrewsSteven BrillComedy
Phil Volken,Bethany Joy Lenz,Danny Glover,Tim Griffin,Action Adventure Crime Drama Thriller,extortion,Bethany Joy LenzDanny GloverTim GriffinPhil VolkenAction Adventure Crime Drama Thriller
Ted Braun,William Ackman,unknown,unknown,Documentary,betting on zero,William AckmanunknownunknownTed BraunDocumentary
Michael O'Shea,Eric Ruffin,Chloe Levine,Aaron Moten,Horror Drama,the transfiguration,Eric RuffinChloe LevineAaron MotenMichael O'SheaHorror Drama
Carson D. Mell,Steve Zissis,Mark Proksch,Jennifer Irwin,Comedy Horror,another evil,Steve ZissisMark ProkschJennifer IrwinCarson D. MellComedy Horror
Joe Swanberg,Jake Johnson,Aislinn Derbez,Joe Lo Truglio,Comedy,win it all,Jake JohnsonAislinn DerbezJoe Lo TruglioJoe SwanbergComedy
David Soren,Kevin Hart,Ed Helms,Thomas Middleditch,Action Animation Comedy Family,captain underpants: the first epic movie,Kevin HartEd HelmsThomas MiddleditchDavid SorenAction Animation Comedy Family
Carlos Bolado,Martha Higareda,Alfonso Dosal,Christian Vazquez,Family Comedy,3 idiotas,Martha HigaredaAlfonso DosalChristian VazquezCarlos BoladoFamily Comedy
